"Name","Instance","Solution","Distance"
"SteepestEdgesRandomCandidate","TSPA","[116, 65, 59, 176, 80, 63, 79, 133, 151, 162, 123, 127, 70, 135, 154, 180, 53, 121, 189, 94, 148, 37, 152, 97, 1, 101, 86, 75, 2, 129, 92, 78, 145, 120, 44, 25, 16, 171, 175, 113, 56, 31, 196, 81, 90, 165, 40, 185, 57, 55, 52, 106, 178, 49, 14, 144, 62, 9, 186, 137, 23, 89, 183, 143, 0, 117, 93, 140, 108, 69, 18, 22, 146, 34, 30, 54, 177, 10, 190, 4, 112, 126, 84, 35, 28, 184, 48, 160, 181, 159, 193, 41, 139, 46, 115, 96, 42, 43, 77, 47]","74143"
"SteepestEdgesRandomCandidate","TSPB","[135, 122, 90, 191, 125, 51, 147, 134, 6, 188, 169, 132, 195, 168, 139, 11, 138, 33, 160, 104, 8, 111, 144, 0, 35, 109, 29, 145, 70, 3, 155, 184, 152, 170, 34, 143, 159, 106, 124, 62, 18, 55, 183, 140, 4, 149, 28, 20, 60, 148, 47, 94, 179, 185, 99, 130, 95, 86, 166, 194, 176, 180, 113, 114, 137, 127, 89, 103, 163, 165, 187, 153, 81, 77, 141, 61, 36, 78, 175, 142, 5, 177, 25, 121, 112, 54, 31, 73, 136, 80, 190, 193, 117, 198, 156, 1, 16, 27, 38, 63]","46397"
