"Name","Instance","Solution","Distance"
"ListOfMoves","TSPA","[65, 105, 59, 139, 42, 65, 116, 193, 18, 140, 193, 115, 65, 184, 43, 160, 34, 146, 103, 108, 18, 22, 42, 115, 193, 159, 41, 193, 46, 117, 0, 143, 183, 62, 106, 178, 165, 164, 90, 40, 119, 185, 40, 32, 155, 14, 102, 49, 14, 144, 165, 185, 145, 113, 171, 16, 31, 78, 44, 129, 92, 52, 55, 129, 120, 145, 129, 57, 2, 94, 63, 79, 86, 154, 26, 101, 1, 97, 152, 97, 75, 120, 53, 180, 135, 53, 63, 176, 23, 186, 137, 80, 63, 154, 63, 51, 151, 123, 65, 149]","74954"
"ListOfMoves","TSPB","[29, 109, 0, 35, 83, 18, 55, 34, 55, 62, 124, 106, 103, 113, 180, 127, 89, 163, 176, 86, 194, 176, 166, 86, 185, 94, 148, 47, 60, 28, 149, 20, 148, 95, 86, 128, 183, 140, 199, 152, 170, 189, 15, 145, 132, 70, 3, 155, 168, 195, 13, 188, 169, 11, 33, 160, 11, 139, 90, 191, 51, 125, 90, 107, 40, 63, 32, 102, 135, 131, 1, 24, 198, 54, 117, 31, 73, 193, 80, 78, 175, 142, 5, 80, 190, 177, 36, 141, 77, 146, 187, 153, 111, 81, 82, 8, 104, 144, 138, 182]","52857"
